GENE PRODUCT ID,GO TERM
A6NCS4,GO:0008284
A6NCS4,GO:0021854
A6NCS4,GO:0030154
A6NCS4,GO:0035050
A6NCS4,GO:0043066
A6NCS4,GO:0043586
A6NCS4,GO:0045944
A6NCS4,GO:0048565
A6NCS4,GO:0055014
A6NCS4,GO:0055015
A6NCS4,GO:0060037
A6NCS4,GO:0060039
A6NCW0,GO:0042981
A6NCW7,GO:0042981
A6ND01,GO:0007155
A6ND01,GO:0007338
A6ND01,GO:0007342
A6ND01,GO:0035036
A6ND36,GO:0030509
A6NDE4,GO:0007283
A6NDE4,GO:0008584
A6NDE4,GO:0048026
A6NDG6,GO:0006114
A6NDG6,GO:0006650
A6NDG6,GO:0045721
A6NDI0,GO:0010468
A6NDI0,GO:0016567
A6NDI0,GO:0045087
A6NDU8,GO:0000423
A6NDV4,GO:0007160
A6NDV4,GO:0007346
A6NDX5,GO:0006357
A6NDY0,GO:0000288
A6NDZ8,GO:0000122
A6NDZ8,GO:0006346
A6NE82,GO:0000122
A6NE82,GO:0006346
A6NEC2,GO:0006508
A6NEC2,GO:0043171
A6NEQ0,GO:0048026
A6NF01,GO:0006405
A6NF01,GO:0006606
A6NF36,GO:0008585
A6NFA1,GO:0006508
A6NFA1,GO:0030178
A6NFA1,GO:0031334
A6NFA1,GO:1904808
A6NFC9,GO:0050911
A6NFD8,GO:0006357
A6NFD8,GO:0009952
A6NFD8,GO:0050767
A6NFH5,GO:0015908
A6NFI3,GO:0006357
A6NFN3,GO:0000381
A6NFN3,GO:0007399
A6NFQ2,GO:0010360
A6NFQ2,GO:0030335
A6NFQ2,GO:0090314
A6NFQ7,GO:0006357
A6NFT4,GO:0003341
A6NFT4,GO:0007286
A6NFT4,GO:0036159
A6NFX1,GO:0003376
A6NFX1,GO:0006869
A6NFX1,GO:0030148
A6NFX1,GO:1901731
A6NFY7,GO:0034553
A6NG13,GO:0006487
A6NGB9,GO:0006887
A6NGB9,GO:0032456
A6NGB9,GO:0034314
A6NGB9,GO:0042147
A6NGE7,GO:0019628
A6NGE7,GO:0008150
A6NGJ6,GO:0010468
A6NGJ6,GO:0016567
A6NGJ6,GO:0045087
A6NGQ2,GO:0007015
A6NGQ2,GO:0008150
A6NGQ2,GO:0009880
A6NGQ2,GO:0031297
A6NGQ2,GO:0032880
A6NGQ2,GO:0035088
A6NGQ2,GO:0045836
A6NGQ2,GO:0051293
A6NGQ2,GO:0051302
A6NGQ2,GO:0070201
A6NGQ2,GO:1905168
A6NGQ2,GO:2000781
A6NGU5,GO:0002682
A6NGU5,GO:0006751
A6NGU5,GO:0008150
A6NGU5,GO:0031179
A6NGU5,GO:0050727
A6NGU5,GO:1901750
A6NH00,GO:0050911
A6NH11,GO:0035627
A6NH11,GO:0120009
A6NHC0,GO:0006508
A6NHJ4,GO:0006357
A6NHL2,GO:0000226
A6NHL2,GO:0000278
A6NHM9,GO:0006589
A6NHM9,GO:0042420
A6NHM9,GO:0042421
A6NHN0,GO:0030198
A6NHN0,GO:0045299
A6NHN0,GO:0051260
A6NHQ2,GO:0000494
A6NHQ2,GO:0031167
A6NHR9,GO:0009048
A6NHR9,GO:0043584
A6NHR9,GO:0045739
A6NHR9,GO:2000042
A6NHR9,GO:2001034
A6NHS7,GO:0008544
A6NHS7,GO:0030198
A6NHS7,GO:0060429
A6NHT5,GO:0006357
A6NHX0,GO:1903577
A6NHX0,GO:1904262
A6NI03,GO:0010468
A6NI03,GO:0016567
A6NI03,GO:0045087
A6NI15,GO:0001707
A6NI15,GO:0006357
A6NI28,GO:0090630
A6NI72,GO:0042554
A6NI72,GO:0045730
A6NI73,GO:0019221
A6NI73,GO:0032695
A6NI73,GO:0032696
A6NI73,GO:0032731
A6NI73,GO:0032733
A6NI73,GO:0032755
A6NI73,GO:0032760
A6NI73,GO:0043410
A6NI73,GO:0050729
A6NI73,GO:0050867
A6NI73,GO:0051928
A6NI73,GO:0061098
A6NI79,GO:0051255
A6NIE6,GO:0006361
A6NIE9,GO:0006508
A6NIH7,GO:0007399
A6NIH7,GO:0042953
A6NIH7,GO:0060271
A6NIM6,GO:0055085
A6NIX2,GO:0035195
A6NIX2,GO:0001666
A6NIX2,GO:0006355
A6NIX2,GO:0007010
A6NIX2,GO:0022604
A6NIX2,GO:0035278
A6NIX2,GO:0035331
A6NIZ1,GO:0032486
A6NIZ1,GO:0071320
A6NIZ1,GO:2000301
A6NJ08,GO:0000122
A6NJ08,GO:0006346
A6NJ46,GO:0000122
A6NJ46,GO:0006357
A6NJ46,GO:0030154
A6NJ46,GO:0045944
A6NJ78,GO:0070475
A6NJG6,GO:0006357
A6NJT0,GO:0010468
A6NJY4,GO:0070059
A6NJZ7,GO:0007274
A6NJZ7,GO:0007286
A6NJZ7,GO:0008150
A6NJZ7,GO:0009566
A6NK02,GO:0007144
A6NK02,GO:0016567
A6NK06,GO:0002760
A6NK06,GO:0006952
A6NK06,GO:0007566
A6NK06,GO:0032088
A6NK06,GO:0032480
A6NK06,GO:0034136
A6NK06,GO:0034144
A6NK06,GO:0035458
A6NK06,GO:0045824
A6NK06,GO:0050728
A6NK06,GO:0051607
A6NK06,GO:0071219
A6NK06,GO:0071222
A6NK06,GO:0071346
A6NK06,GO:0071347
A6NK06,GO:0071356
A6NK06,GO:0071393
A6NK06,GO:0072573
A6NK06,GO:2000379
A6NK58,GO:0009249
A6NK58,GO:0019752
A6NK58,GO:2000376
A6NKB5,GO:0008150
A6NKF1,GO:0051225
A6NKF1,GO:0051298
A6NKF2,GO:0006357
A6NKF7,GO:0090090
A6NKQ9,GO:0007186
A6NKT7,GO:0006607
A6NL88,GO:1904717
A6NL88,GO:2000311
A6NL88,GO:0007214
A6NL88,GO:0007613
A6NL88,GO:0048172
A6NL88,GO:0097112
A6NL88,GO:0106040
A6NL88,GO:1900273
A6NL99,GO:0006833
A6NL99,GO:0015793
A6NLC8,GO:0051123
A6NLI5,GO:0010468
A6NLI5,GO:0016567
A6NLI5,GO:0045087
A6NLU0,GO:0000209
A6NLU0,GO:0010508
A6NLU0,GO:0032880
A6NLU0,GO:0043123
A6NLU0,GO:0045087
A6NLU0,GO:0046596
A6NLW8,GO:0006357
A6NM03,GO:0050911
A6NM28,GO:0006357
A6NM43,GO:0006457
A6NMB1,GO:0007155
A6NMB1,GO:0032755
A6NMB1,GO:1900426
A6NMB9,GO:0001763
A6NMB9,GO:0030336
A6NMB9,GO:0048681
A6NMB9,GO:0051013
A6NMB9,GO:1903690
A6NMN3,GO:0009566
A6NMN3,GO:0080154
A6NMN3,GO:2000344
A6NMT0,GO:0006357
A6NMT0,GO:0021515
A6NMX2,GO:0006413
A6NMY6,GO:1905602
A6NN14,GO:0006357
A6NN92,GO:0007267
A6NNA5,GO:0006357
A6NND4,GO:0007165
A6NND4,GO:0070374
A6NNF4,GO:0006357
A6NNM3,GO:0007274
A6NNM3,GO:0007286
A6NNM3,GO:0009566
A6NNM8,GO:0000226
A6NNS2,GO:0006874
A6NNS2,GO:0010880
A6NNS2,GO:0046323
A6NNW6,GO:0006096
A6NNW6,GO:0008150
A6NNZ2,GO:0000226
A6NNZ2,GO:0000278
A6NP61,GO:0001556
A6NP61,GO:0006412
A6NP61,GO:0017148
A6PVC2,GO:0003341
A6PVC2,GO:0018094
A6PVC2,GO:0030317
A6PVC2,GO:0060271
A6PVI3,GO:0000398
A7E2V4,GO:0016567
A7E2V4,GO:0043161
A7E2V4,GO:0140958
A7E2V4,GO:2000627
A7KAX9,GO:0007264
A7KAX9,GO:0051056
A7MBM2,GO:0007224
A7MCY6,GO:0051607
A7MCY6,GO:0060337
A7MD48,GO:0000381
A7MD48,GO:0006397
A7MD48,GO:0007399
A7MD48,GO:0030154
A7MD48,GO:0042551
A7MD48,GO:0043484
A8CG34,GO:0006405
A8CG34,GO:0006606
A8K0Z3,GO:0006887
A8K0Z3,GO:0010507
A8K0Z3,GO:0016197
A8K0Z3,GO:0022617
A8K0Z3,GO:0030335
A8K0Z3,GO:0031274
A8K0Z3,GO:0031396
A8K0Z3,GO:0032456
A8K0Z3,GO:0034314
A8K0Z3,GO:0034315
A8K0Z3,GO:0042147
A8K2U0,GO:0052548
A8K5M9,GO:0007266
A8K5M9,GO:0008360
A8K5M9,GO:0030838
A8K5M9,GO:0031274
A8K7I4,GO:0034220
A8K8V0,GO:0006357
A8MPP1,GO:0032508
A8MPP1,GO:0034085
A8MPY1,GO:0007214
A8MPY1,GO:0007268
A8MPY1,GO:1902476
A8MQ03,GO:0051702
A8MQ03,GO:0061436
A8MQ14,GO:0006357
A8MQ27,GO:0070086
A8MT65,GO:0006357
A8MT69,GO:0000712
A8MT69,GO:0007059
A8MT69,GO:0031297
A8MT69,GO:0031398
A8MT69,GO:0036297
A8MTI9,GO:0006508
A8MTJ3,GO:0001580
A8MTJ3,GO:0007188
A8MTJ3,GO:0050916
A8MTJ6,GO:0001942
A8MTJ6,GO:0006357
A8MTJ6,GO:0009653
A8MTJ6,GO:0009957
A8MTJ6,GO:0030154
A8MTJ6,GO:0042475
A8MTJ6,GO:0048538
A8MTJ6,GO:0060017
A8MTJ6,GO:0060037
A8MTJ6,GO:1905040
A8MTL3,GO:0007129
A8MTL3,GO:0016925
A8MTQ0,GO:0006357
A8MTQ0,GO:0007417
A8MTQ0,GO:0030182
A8MTZ0,GO:0060271
A8MTZ0,GO:0097500
A8MUH7,GO:0072659
A8MUK1,GO:0042981
A8MUM7,GO:0070234
A8MUU1,GO:0015908
A8MUZ8,GO:0006357
A8MV81,GO:0097250
A8MVJ9,GO:0006974
A8MVU1,GO:0042554
A8MVU1,GO:0045730
A8MVW5,GO:0007098
A8MVZ5,GO:0001817
A8MVZ5,GO:0050852
A8MW92,GO:0006357
A8MW92,GO:0032435
A8MW92,GO:0042177
A8MW95,GO:0006914
A8MW95,GO:0008333
A8MW95,GO:1990172
A8MW95,GO:0000045
A8MW95,GO:0000423
A8MW95,GO:0006995
A8MW95,GO:0045324
A8MW99,GO:0007129
A8MW99,GO:0007283
A8MW99,GO:0042138
A8MW99,GO:0048477
A8MWA4,GO:0006357
A8MWD9,GO:0000398
A8MWX3,GO:0006887
A8MWX3,GO:0016197
A8MWX3,GO:0032456
A8MWX3,GO:0034314
A8MWX3,GO:0034315
A8MWX3,GO:0042147
A8MWY0,GO:0030513
A8MWY0,GO:0045684
A8MWY0,GO:0051961
A8MX76,GO:0006508
A8MXD5,GO:0007605
A8MXD5,GO:0060118
A8MXD5,GO:0060119
A8MXD5,GO:0060122
A8MXE2,GO:0006493
A8MXV4,GO:0008150
A8MXV4,GO:0009062
A8MXV4,GO:0015938
A8MXV4,GO:0036114
A8MXV4,GO:0044580
A8MXV4,GO:1901289
A8MXV4,GO:1902858
A8MXV4,GO:2001294
A8MXY4,GO:0006357
A8MYU2,GO:0022414
A8MYU2,GO:0071805
A8MYZ6,GO:0006357
A8MYZ6,GO:0060999
A8MZ26,GO:0007283
A8MZ26,GO:0030317
A8MZ26,GO:0048240
A8MZ59,GO:0006357
A9QM74,GO:0006606
A9QM74,GO:0006607
A9UHW6,GO:0002191
A9UHW6,GO:0006446
A9Z1Z3,GO:0046928
B0I1T2,GO:0002456
B0I1T2,GO:0006897
B0I1T2,GO:0007015
B0I1T2,GO:0030048
B0I1T2,GO:0038096
B0I1T2,GO:0072678
B0L3A2,GO:0038084
B0L3A2,GO:0086100
B0YJ81,GO:0030148
B0YJ81,GO:0030497
B0YJ81,GO:0035338
B0YJ81,GO:0042761
B0YJ81-1,GO:0030148
B0YJ81-1,GO:0030497
B0YJ81-1,GO:0042761
B1AK53,GO:0030034
B1AK53,GO:0051017
B1AL88,GO:0098703
B1ANY3,GO:0000122
B1APH4,GO:0006357
B2RTY4,GO:0007601
B2RTY4,GO:0034329
B2RTY4,GO:0045198
B2RTY4,GO:0051056
B2RTY4,GO:0150011
B2RUY7,GO:0030514
B2RXF5,GO:0006357
B2RXF5,GO:0007517
B2RXH2,GO:0006338
B2RXH2,GO:0010468
B2RXH4,GO:0010526
B2RXH4,GO:0007141
