GENE PRODUCT ID,GO TERM
A6NFQ2,GO:0030054
A6NFQ7,GO:0005634
A6NFQ7,GO:0000785
A6NFT4,GO:0031514
A6NFT4,GO:0097545
A6NFX1,GO:0005886
A6NFY7,GO:0005739
A6NFY7,GO:0005654
A6NG13,GO:0005783
A6NG13,GO:0005793
A6NG13,GO:0005795
A6NGB9,GO:0005769
A6NGB9,GO:0055037
A6NGB9,GO:0005829
A6NGB9,GO:0071203
A6NGE7,GO:0005575
A6NGJ6,GO:0005737
A6NGQ2,GO:0005634
A6NGQ2,GO:0005737
A6NGQ2,GO:0005938
A6NGQ2,GO:0032991
A6NGQ2,GO:0106333
A6NGU5,GO:0005886
A6NGU5,GO:0070062
A6NH00,GO:0005886
A6NH11,GO:0005829
A6NHC0,GO:0005737
A6NHJ4,GO:0005634
A6NHL2,GO:0005737
A6NHL2,GO:0005874
A6NHM9,GO:0005615
A6NHM9,GO:0030667
A6NHN0,GO:0005615
A6NHN0,GO:0062023
A6NHN0,GO:0005576
A6NHQ2,GO:0005730
A6NHQ2,GO:0015030
A6NHQ2,GO:0001650
A6NHQ2,GO:0005654
A6NHQ2,GO:0031428
A6NHQ2,GO:0032040
A6NHR9,GO:0000781
A6NHR9,GO:0001740
A6NHR9,GO:0035861
A6NHS7,GO:0005886
A6NHT5,GO:0005634
A6NHT5,GO:0000785
A6NHX0,GO:0061700
A6NHX0,GO:0005829
A6NI03,GO:0005737
A6NI15,GO:0005634
A6NI15,GO:0000785
A6NI28,GO:0005575
A6NI72,GO:0005737
A6NI72,GO:0043020
A6NI73,GO:0005886
A6NI73,GO:0009986
A6NI79,GO:0005737
A6NI79,GO:0005634
A6NI79,GO:0051233
A6NIE6,GO:0005634
A6NIE9,GO:0005615
A6NIH7,GO:0005929
A6NIH7,GO:0005829
A6NIH7,GO:0035869
A6NIM6,GO:0016020
A6NIX2,GO:0000932
A6NIX2,GO:0005634
A6NIX2,GO:0005912
A6NIX2,GO:0005667
A6NIZ1,GO:0005886
A6NJ08,GO:0005634
A6NJ46,GO:0005634
A6NJ46,GO:0000785
A6NJ78,GO:0005739
A6NJ78,GO:0005759
