Uniprot_id,Category
Q06278,Enzymes
Q07075,Enzymes
Q07343,Enzymes
Q07912,Enzymes
Q08462,Enzymes
Q08493,Enzymes
Q08499,Enzymes
Q08828,Enzymes
Q08881,Enzymes
Q12851,Enzymes
Q12852,Enzymes
Q12882,Enzymes
Q13131,Enzymes
Q13153,Enzymes
Q13164,Enzymes
Q13177,Enzymes
Q13188,Enzymes
Q13233,Enzymes
Q13237,Enzymes
Q13315,Enzymes
Q13370,Enzymes
Q13393,Enzymes
Q13464,Enzymes
Q13523,Enzymes
Q13546,Enzymes
Q13547,Enzymes
Q13554,Enzymes
Q13555,Enzymes
Q13557,Enzymes
Q13574,Enzymes
Q13627,Enzymes
Q13882,Enzymes
Q13946,Enzymes
Q13956,Enzymes
Q14012,Enzymes
Q14123,Enzymes
Q14164,Enzymes
Q14289,Enzymes
Q14432,Enzymes
Q14534,Enzymes
Q14680,Enzymes
Q14790,Enzymes
Q15120,Enzymes
Q15139,Enzymes
Q15185,Enzymes
Q15208,Enzymes
Q15418,Enzymes
Q15569,Enzymes
Q15596,Enzymes
Q15746,Enzymes
Q15759,Enzymes
Q15788,Enzymes
Q15910,Enzymes
Q16512,Enzymes
Q16513,Enzymes
Q16539,Enzymes
Q16584,Enzymes
Q16647,Enzymes
Q16654,Enzymes
Q16659,Enzymes
Q16678,Enzymes
Q16739,Enzymes
Q16790,Enzymes
Q16850,Enzymes
Q16853,Enzymes
Q16873,Enzymes
Q2M2I8,Enzymes
Q32MK0,Enzymes
Q59H18,Enzymes
Q5S007,Enzymes
Q6PHR2,Enzymes
Q6V0L0,Enzymes
Q7KZI7,Enzymes
Q7L7X3,Enzymes
Q7LG56,Enzymes
Q86UE8,Enzymes
Q8IU85,Enzymes
Q8IVH8,Enzymes
Q8IW41,Enzymes
Q8IYT8,Enzymes
Q8N4C8,Enzymes
Q8N5S9,Enzymes
Q8NEV4,Enzymes
Q8NFM4,Enzymes
Q8NI60,Enzymes
Q8TBX8,Enzymes
Q8TCG2,Enzymes
Q8TD08,Enzymes
Q8TD19,Enzymes
Q8WUI4,Enzymes
Q92769,Enzymes
Q92800,Enzymes
Q92918,Enzymes
Q969P6,Enzymes
Q969S8,Enzymes
Q96A70,Enzymes
Q96BR1,Enzymes
Q96D53,Enzymes
Q96DB2,Enzymes
Q96EB6,Enzymes
Q96GD4,Enzymes
Q96KS0,Enzymes
Q96L34,Enzymes
Q96PN6,Enzymes
Q96PY6,Enzymes
Q96QT4,Enzymes
Q96RR4,Enzymes
Q96SW2,Enzymes
Q99259,Enzymes
Q99519,Enzymes
Q99640,Enzymes
Q99707,Enzymes
Q99759,Enzymes
Q9BQB6,Enzymes
Q9BQI3,Enzymes
Q9BRS2,Enzymes
Q9BUB5,Enzymes
Q9BVS4,Enzymes
Q9BXA7,Enzymes
Q9BY41,Enzymes
Q9BY66,Enzymes
Q9BYF1,Enzymes
Q9GZT9,Enzymes
Q9H0K1,Enzymes
Q9H1R3,Enzymes
Q9H2G2,Enzymes
Q9H2K8,Enzymes
Q9H2X6,Enzymes
Q9H3Y6,Enzymes
Q9H422,Enzymes
Q9H4B4,Enzymes
Q9H6Z9,Enzymes
Q9HAZ1,Enzymes
Q9HBH9,Enzymes
Q9HCR9,Enzymes
Q9NP56,Enzymes
Q9NPA2,Enzymes
Q9NQU5,Enzymes
Q9NRH2,Enzymes
Q9NRP7,Enzymes
Q9NSY1,Enzymes
Q9NWZ3,Enzymes
Q9NXA8,Enzymes
Q9NYL2,Enzymes
Q9NYY3,Enzymes
Q9NZK7,Enzymes
Q9P0L2,Enzymes
Q9P286,Enzymes
Q9P289,Enzymes
Q9P2K8,Enzymes
Q9UBF8,Enzymes
Q9UBN7,Enzymes
Q9UEW8,Enzymes
Q9UGI9,Enzymes
Q9UGJ0,Enzymes
Q9UGN5,Enzymes
Q9UHD2,Enzymes
Q9UIK4,Enzymes
Q9UK32,Enzymes
Q9UKE5,Enzymes
Q9UKI8,Enzymes
Q9UKV0,Enzymes
Q9UL54,Enzymes
Q9UM07,Enzymes
Q9UNA0,Enzymes
Q9UPZ9,Enzymes
Q9UQB9,Enzymes
Q9UQL6,Enzymes
Q9UQM7,Enzymes
Q9Y233,Enzymes
Q9Y2H1,Enzymes
Q9Y2H9,Enzymes
Q9Y2K2,Enzymes
Q9Y2U5,Enzymes
Q9Y3R4,Enzymes
Q9Y463,Enzymes
Q9Y478,Enzymes
Q9Y4K4,Enzymes
Q9Y5Y6,Enzymes
Q9Y616,Enzymes
Q9Y6E0,Enzymes
Q9Y6F1,Enzymes
Q9Y6K1,Enzymes
Q9Y6R4,Enzymes
O00222,GPCR
O14842,GPCR
O43193,GPCR
O43613,GPCR
O43614,GPCR
O75899,GPCR
O95665,GPCR
O95977,GPCR
P07550,GPCR
P08100,GPCR
P08172,GPCR
P08173,GPCR
P08588,GPCR
P08908,GPCR
P08912,GPCR
P08913,GPCR
P0DMS8,GPCR
P11229,GPCR
P13945,GPCR
P14416,GPCR
P18089,GPCR
P18825,GPCR
P20309,GPCR
P21452,GPCR
P21453,GPCR
P21462,GPCR
P21554,GPCR
P21728,GPCR
P21730,GPCR
P21731,GPCR
P21917,GPCR
P21918,GPCR
P22888,GPCR
P23945,GPCR
P24530,GPCR
P25021,GPCR
P25024,GPCR
P25100,GPCR
P25101,GPCR
P25103,GPCR
P25105,GPCR
P25116,GPCR
P28221,GPCR
P28222,GPCR
P28223,GPCR
P28335,GPCR
P28566,GPCR
P29274,GPCR
P29275,GPCR
P29371,GPCR
P30411,GPCR
P30518,GPCR
P30542,GPCR
P30556,GPCR
P30559,GPCR
P30872,GPCR
P30874,GPCR
P30939,GPCR
P30968,GPCR
P30988,GPCR
P31391,GPCR
P32238,GPCR
P32239,GPCR
P32745,GPCR
P34969,GPCR
P34972,GPCR
P34981,GPCR
P34995,GPCR
P35346,GPCR
P35348,GPCR
P35367,GPCR
P35368,GPCR
P35372,GPCR
P35408,GPCR
P35462,GPCR
P37288,GPCR
P41143,GPCR
P41180,GPCR
P41231,GPCR
P41594,GPCR
P41595,GPCR
P41597,GPCR
P43088,GPCR
P43115,GPCR
P43116,GPCR
P43119,GPCR
P43220,GPCR
P46663,GPCR
P47898,GPCR
P47901,GPCR
P48039,GPCR
P49019,GPCR
P49146,GPCR
P49286,GPCR
P50052,GPCR
P50406,GPCR
P51681,GPCR
P61073,GPCR
Q01718,GPCR
Q13255,GPCR
Q13258,GPCR
Q13639,GPCR
Q14330,GPCR
Q14831,GPCR
Q14833,GPCR
Q15722,GPCR
Q16602,GPCR
Q5NUL3,GPCR
Q6QNK2,GPCR
Q6W5P4,GPCR
Q7RTX0,GPCR
Q8TDS4,GPCR
Q8TDU6,GPCR
Q8TE23,GPCR
Q92847,GPCR
Q99500,GPCR
Q99527,GPCR
Q99705,GPCR
Q99835,GPCR
Q9BXA5,GPCR
Q9H228,GPCR
Q9H244,GPCR
Q9NS75,GPCR
Q9NYV7,GPCR
Q9UBS5,GPCR
Q9Y271,GPCR
Q9Y2T6,GPCR
Q9Y5N1,GPCR
Q9Y5Y4,GPCR
O75469,NR
O95718,NR
P03372,NR
P04150,NR
P06401,NR
P08235,NR
P10275,NR
P10276,NR
P10589,NR
P10826,NR
P10827,NR
P10828,NR
P11474,NR
P13631,NR
P19793,NR
P28702,NR
P35398,NR
P37231,NR
P48443,NR
P51843,NR
P55055,NR
P62508,NR
Q03181,NR
Q07869,NR
Q13133,NR
Q14994,NR
Q92570,NR
Q92731,NR
Q92753,NR
Q96RI1,NR
A5X5Y0,IC
A8MPY1,IC
O00180,IC
O00555,IC
O00591,IC
O14649,IC
O14764,IC
O15399,IC
O15554,IC
O43497,IC
O43525,IC
O43526,IC
O60391,IC
O60840,IC
O75311,IC
O75762,IC
O95069,IC
O95180,IC
O95259,IC
O95264,IC
P02708,IC
P13569,IC
P14867,IC
P16389,IC
P17302,IC
P17658,IC
P17787,IC
P18505,IC
P18507,IC
P21817,IC
P22001,IC
P22459,IC
P22460,IC
P23415,IC
P24046,IC
P28472,IC
P28476,IC
P29972,IC
P29973,IC
P30532,IC
P30926,IC
P31644,IC
P32297,IC
P34903,IC
P35498,IC
P35499,IC
P36544,IC
P37088,IC
P39086,IC
P42261,IC
P42262,IC
P42263,IC
P43681,IC
P46098,IC
P47869,IC
P47870,IC
P48048,IC
P48050,IC
P48051,IC
P48058,IC
P48167,IC
P48169,IC
P48544,IC
P48547,IC
P48549,IC
P51168,IC
P51170,IC
P51172,IC
P51787,IC
P51800,IC
P56373,IC
P56696,IC
P63252,IC
P78334,IC
P78348,IC
P78508,IC
Q00975,IC
Q01668,IC
Q05586,IC
Q05901,IC
Q09470,IC
Q12791,IC
Q12809,IC
Q12879,IC
Q13002,IC
Q13003,IC
Q13224,IC
Q13698,IC
Q13936,IC
Q14003,IC
Q14500,IC
Q14524,IC
Q14571,IC
Q14573,IC
Q14643,IC
Q14654,IC
Q14721,IC
Q14957,IC
Q15822,IC
Q15825,IC
Q15842,IC
Q15858,IC
Q15878,IC
Q16099,IC
Q16322,IC
Q16445,IC
Q16478,IC
Q16515,IC
Q70Z44,IC
Q7Z2W7,IC
Q8N1C3,IC
Q8NER1,IC
Q8NET8,IC
Q8TCU5,IC
Q8TD43,IC
Q8WXA8,IC
Q92482,IC
Q92736,IC
Q92806,IC
Q92952,IC
Q92953,IC
Q96PR1,IC
Q96QT4,IC
Q96RD7,IC
Q96RP8,IC
Q99250,IC
Q99571,IC
Q99712,IC
Q99928,IC
Q9GZZ6,IC
Q9H252,IC
Q9H2S1,IC
Q9HBA0,IC
Q9NPC2,IC
Q9NR82,IC
Q9NSA2,IC
Q9NY46,IC
Q9NZV8,IC
Q9P0X4,IC
Q9UBL9,IC
Q9UGI6,IC
Q9UGM1,IC
Q9UHC3,IC
Q9UI33,IC
Q9UK17,IC
Q9UL51,IC
Q9UN88,IC
Q9UNX9,IC
Q9UQD0,IC
Q9Y257,IC
Q9Y5S1,IC
Q9Y5Y9,IC
