From src:'1'	To src:'2'
CHEMBL2103791	DB06579
CHEMBL96852	DB01760
CHEMBL1078178	DB11763
CHEMBL500779	DB07161
CHEMBL609109	DB01622
CHEMBL1078534	DB07373
CHEMBL4228124	DB12220
CHEMBL590754	DB02660
CHEMBL2110912	DB13678
CHEMBL113142	DB08770
CHEMBL871	DB01077
CHEMBL66092	DB06685
CHEMBL1182997	DB05710
CHEMBL293498	DB08598
CHEMBL224060	DB13767
CHEMBL269634	DB02032
CHEMBL1276310	DB12343
CHEMBL2110756	DB06587
CHEMBL704	DB00244
CHEMBL443732	DB01833
CHEMBL520642	DB04918
CHEMBL22108	DB08801
CHEMBL1490	DB00376
CHEMBL1231470	DB02205
CHEMBL1201392	DB00663
CHEMBL3900409	DB15638
CHEMBL82202	DB00114
CHEMBL2096648	DB09510
CHEMBL2103831	DB06682
CHEMBL1234282	DB03879
CHEMBL2106123	DB11093
CHEMBL2106467	DB08803
CHEMBL7983	DB12450
CHEMBL658	DB00708
CHEMBL1200800	DB00258
CHEMBL2111076	DB13574
CHEMBL1237044	DB00193
CHEMBL189607	DB04006
CHEMBL375655	DB02857
CHEMBL383990	DB07959
CHEMBL17331	DB17040
CHEMBL405110	DB09241
CHEMBL1290	DB01359
CHEMBL1201323	DB00272
CHEMBL4297540	DB13010
CHEMBL3707377	DB14583
CHEMBL489411	DB09056
CHEMBL413	DB00877
CHEMBL650	DB00959
CHEMBL4298138	DB16826
CHEMBL182	DB01004
CHEMBL537968	DB08450
CHEMBL380955	DB08246
CHEMBL4297527	DB11838
CHEMBL39736	DB04830
CHEMBL372795	DB01082
CHEMBL595573	DB12168
CHEMBL2104415	DB11431
CHEMBL232942	DB06972
CHEMBL1201202	DB00569
CHEMBL42208	DB01691
CHEMBL3989954	DB13012
CHEMBL489156	DB03083
CHEMBL1198857	DB09082
CHEMBL1231498	DB04651
CHEMBL1644695	DB11119
CHEMBL295829	DB13308
CHEMBL3356433	DB16009
CHEMBL603830	DB01647
CHEMBL474857	DB07098
CHEMBL1224	DB09488
CHEMBL1755	DB00872
CHEMBL227072	DB14900
CHEMBL1614641	DB13317
CHEMBL3707202	DB15825
CHEMBL3945728	DB16036
CHEMBL355497	DB03062
CHEMBL3590106	DB13930
CHEMBL139393	DB03670
CHEMBL3989849	DB08978
CHEMBL1788404	DB13462
CHEMBL225519	DB17043
CHEMBL443605	DB11254
CHEMBL2104168	DB01552
CHEMBL272198	DB07274
CHEMBL2028850	DB06196
CHEMBL29609	DB05105
CHEMBL275544	DB06429
CHEMBL18136	DB02723
CHEMBL3707392	DB12394
CHEMBL2180408	DB12657
CHEMBL717	DB00603
CHEMBL42039	DB06869
CHEMBL1231160	DB11759
CHEMBL2110670	DB12071
CHEMBL286678	DB01947
CHEMBL227875	DB05154
CHEMBL221181	DB07075
CHEMBL489	DB04468
CHEMBL1424	DB02134
CHEMBL1908359	DB09484
CHEMBL295830	DB04620
CHEMBL277100	DB01405
CHEMBL1614709	DB06347
CHEMBL4297458	DB15435
CHEMBL3221419	DB04124
CHEMBL267930	DB17056
CHEMBL561318	DB07875
CHEMBL31574	DB07795
CHEMBL2107830	DB09038
CHEMBL217914	DB07844
CHEMBL2316582	DB16185
CHEMBL765	DB01170
CHEMBL370143	DB01421
CHEMBL3098771	DB12316
CHEMBL298470	DB06608
CHEMBL2104807	DB11433
CHEMBL575218	DB07141
CHEMBL1200472	DB01589
CHEMBL1623	DB00737
CHEMBL233360	DB07072
CHEMBL818	DB06704
CHEMBL1024	DB01181
CHEMBL386051	DB02567
CHEMBL262344	DB16102
CHEMBL3716057	DB15097
CHEMBL4210847	DB11736
CHEMBL1201151	DB01357
CHEMBL443030	DB02804
CHEMBL47527	DB04518
CHEMBL810	DB00853
CHEMBL64	DB00951
CHEMBL40733	DB14071
CHEMBL561360	DB08279
CHEMBL1201388	DB00687
CHEMBL2103749	DB00006
CHEMBL74632	DB04570
CHEMBL11122	DB06331
CHEMBL163672	DB13279
CHEMBL1981292	DB00644
CHEMBL200102	DB12638
CHEMBL1503	DB00338
CHEMBL605003	DB08039
CHEMBL2104744	DB11440
CHEMBL412309	DB12384
CHEMBL79993	DB03535
CHEMBL28721	DB14089
CHEMBL203836	DB04583
CHEMBL513301	DB09206
CHEMBL408194	DB12191
CHEMBL4244843	DB01780
CHEMBL469099	DB07073
CHEMBL939	DB00317
CHEMBL117785	DB04844
CHEMBL1583	DB01602
CHEMBL290077	DB04441
CHEMBL1090	DB00194
CHEMBL361078	DB07502
CHEMBL1378	DB00372
CHEMBL3989731	DB13703
CHEMBL583912	DB12039
CHEMBL36	DB00205
CHEMBL453509	DB04257
CHEMBL491019	DB08459
CHEMBL36245	DB03987
CHEMBL1234270	DB12676
CHEMBL549473	DB11327
CHEMBL480558	DB12819
CHEMBL1200979	DB09357
CHEMBL4297437	DB12621
CHEMBL997	DB00710
CHEMBL34124	DB16266
CHEMBL17	DB01144
CHEMBL479014	DB01997
CHEMBL1615778	DB15780
CHEMBL297302	DB12867
CHEMBL744	DB00740
CHEMBL3039523	DB12170
CHEMBL81273	DB03466
CHEMBL1234087	DB08124
CHEMBL607712	DB07718
CHEMBL4297678	DB15146
CHEMBL178459	DB12539
CHEMBL2111047	DB13438
CHEMBL57997	DB12919
CHEMBL260000	DB08149
CHEMBL479960	DB07099
CHEMBL2107778	DB14584
CHEMBL1201204	DB00430
