Drugbank_ID,Uniprot_id
DB00167,O15382
DB00167,P54687
DB00167,P41252
DB00167,Q9NSE4
DB00168,Q7RTX0
DB00168,Q8NER1
DB00168,Q8TE23
DB00169,P11473
DB00170,P15559
DB00170,Q9BQB6
DB00170,P00734
DB00170,Q8N0U8
DB00170,P16083
DB00170,P02818
DB00170,P07225
DB00170,P00740
DB00170,P04070
DB00170,P38435
DB00171,P00519
DB00171,Q9Y4W6
DB00171,Q08828
DB00171,Q04771
DB00171,O95255
DB00171,P45844
DB00171,P49902
DB00171,P31749
DB00171,O15439
DB00171,Q9UM73
DB00171,Q07912
DB00171,P42336
DB00171,P13569
DB00171,Q13564
DB00171,P42684
DB00171,P33527
DB00171,Q96Q40
DB00171,P53041
DB00171,P08243
DB00171,P68400
DB00171,O43681
DB00171,P10398
DB00171,Q96G91
DB00171,Q9NUB1
DB00171,P33121
DB00171,O60706
DB00171,P37023
DB00171,Q9NR19
DB00171,P36896
DB00171,P08183
DB00171,Q92887
DB00171,P25098
DB00171,P67870
DB00171,Q16671
DB00171,P00966
DB00171,P12235
DB00171,O95342
DB00171,P35626
DB00171,O14727
DB00171,O95477
DB00171,Q13131
DB00171,Q09428
DB00172,P32322
DB00172,P13674
DB00172,O94903
DB00172,Q99884
DB00172,Q9UN76
DB00172,P62937
DB00172,Q53H96
DB00172,Q96C36
DB00172,P07814
DB00172,O15460
DB00172,Q8IVL6
DB00172,Q8IVL5
DB00172,Q32P28
DB00172,P23284
DB00172,P45877
DB00172,O43447
DB00172,O43272
DB00172,Q96EM0
DB00172,Q7L3T8
DB00172,P30405
DB00172,Q4W8W1
DB00172,Q13427
DB00173,Q13126
DB00173,P24666
DB00173,O00763
DB00173,P78362
DB00173,P07741
DB00173,Q9BY49
DB00174,O43776
DB00174,Q99624
DB00174,P08243
DB00174,Q96QD8
DB00174,Q96I59
DB00174,Q9H2H9
DB00174,Q7L266
DB00174,Q15758
DB00174,Q969I6
DB00175,P04035
DB00175,Q92769
DB00176,P31645
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00179,P09917
DB00179,P04278
DB00179,Q96QT4
DB00180,P04150
DB00181,Q9UBS5
DB00181,O75899
DB00181,P61073
DB00182,P08588
DB00182,Q99870
DB00182,P31645
DB00182,P14416
DB00182,P13945
DB00182,P23975
DB00182,P07550
DB00182,P08913
DB00182,Q05940
DB00182,P35368
DB00182,P35348
DB00182,Q01959
DB00182,P25100
DB00182,Q96RJ0
DB00182,P27338
DB00182,Q16568
DB00182,P18089
DB00182,P18825
DB00182,P21397
DB00183,P32239
DB00184,Q9UGM1
DB00184,Q15822
DB00184,P28329
DB00184,P43681
DB00184,P36544
DB00184,P32297
DB00184,P30926
DB00184,P30532
DB00184,Q15825
DB00184,Q05901
DB00184,P17787
DB00184,Q9GZZ6
DB00184,P11511
DB00185,P20309
DB00185,P11229
DB00186,P78334
DB00186,P34903
DB00186,P14867
DB00186,P48169
DB00186,P28472
DB00186,P31644
DB00186,Q9UN88
DB00186,Q16445
DB00186,P18505
DB00186,O14764
DB00186,P47869
DB00186,P47870
DB00186,Q8N1C3
DB00186,P18507
DB00186,O00591
DB00186,Q99928
DB00187,P08588
DB00188,P28074
DB00188,P20618
DB00189,P28472
DB00189,Q9UN88
DB00189,P18507
DB00189,P48169
DB00189,Q16445
DB00189,P47870
DB00189,O14764
DB00189,Q8N1C3
DB00189,P31644
DB00189,P14867
DB00189,Q99928
DB00189,P47869
DB00189,O00591
DB00189,P78334
DB00189,P18505
DB00189,P34903
DB00190,P20711
DB00191,P23975
DB00191,P27338
DB00191,Q01959
DB00191,P31645
DB00191,P01303
DB00191,P21397
DB00192,Q14524
DB00193,Q8NER1
DB00193,P08913
DB00193,P20309
DB00193,P18089
DB00193,P23975
DB00193,Q693P7
DB00193,P35372
DB00193,Q8TCU5
DB00193,P30542
