Uniprot_id,Category
P42338,Enzymes
P42345,Enzymes
P42574,Enzymes
P42679,Enzymes
P42680,Enzymes
P42681,Enzymes
P42684,Enzymes
P42685,Enzymes
P42765,Enzymes
P42898,Enzymes
P43166,Enzymes
P43235,Enzymes
P43403,Enzymes
P43405,Enzymes
P45954,Enzymes
P45983,Enzymes
P45984,Enzymes
P45985,Enzymes
P46439,Enzymes
P46597,Enzymes
P46734,Enzymes
P47712,Enzymes
P47895,Enzymes
P47989,Enzymes
P48506,Enzymes
P48637,Enzymes
P48728,Enzymes
P48729,Enzymes
P48735,Enzymes
P48736,Enzymes
P49327,Enzymes
P49354,Enzymes
P49356,Enzymes
P49419,Enzymes
P49448,Enzymes
P49585,Enzymes
P49619,Enzymes
P49642,Enzymes
P49662,Enzymes
P49674,Enzymes
P49721,Enzymes
P49759,Enzymes
P49760,Enzymes
P49761,Enzymes
P49840,Enzymes
P49841,Enzymes
P49888,Enzymes
P49902,Enzymes
P49915,Enzymes
P49916,Enzymes
P50135,Enzymes
P50213,Enzymes
P50416,Enzymes
P50440,Enzymes
P50579,Enzymes
P50613,Enzymes
P50750,Enzymes
P50993,Enzymes
P51164,Enzymes
P51451,Enzymes
P51580,Enzymes
P51617,Enzymes
P51649,Enzymes
P51812,Enzymes
P51813,Enzymes
P51828,Enzymes
P51857,Enzymes
P51955,Enzymes
P51957,Enzymes
P52209,Enzymes
P52333,Enzymes
P52429,Enzymes
P52564,Enzymes
P52788,Enzymes
P52824,Enzymes
P52895,Enzymes
P53350,Enzymes
P53355,Enzymes
P53396,Enzymes
P53609,Enzymes
P53611,Enzymes
P53667,Enzymes
P53671,Enzymes
P53778,Enzymes
P54577,Enzymes
P54578,Enzymes
P54646,Enzymes
P54687,Enzymes
P54750,Enzymes
P54756,Enzymes
P54760,Enzymes
P54762,Enzymes
P54764,Enzymes
P54886,Enzymes
P55210,Enzymes
P55211,Enzymes
P56282,Enzymes
P56524,Enzymes
P57059,Enzymes
P60174,Enzymes
P62714,Enzymes
P62937,Enzymes
P62942,Enzymes
P67775,Enzymes
P68400,Enzymes
P78330,Enzymes
P78356,Enzymes
P78362,Enzymes
P78527,Enzymes
P80404,Enzymes
P98170,Enzymes
P98194,Enzymes
Q00266,Enzymes
Q00532,Enzymes
Q00534,Enzymes
Q00535,Enzymes
Q00536,Enzymes
Q00537,Enzymes
Q00987,Enzymes
Q01064,Enzymes
Q01814,Enzymes
Q02108,Enzymes
Q02127,Enzymes
Q02153,Enzymes
Q02156,Enzymes
Q02218,Enzymes
Q02750,Enzymes
Q02763,Enzymes
Q02779,Enzymes
Q02809,Enzymes
Q02880,Enzymes
Q03013,Enzymes
Q03393,Enzymes
Q03426,Enzymes
Q04609,Enzymes
Q04759,Enzymes
Q04760,Enzymes
Q04771,Enzymes
Q04828,Enzymes
Q04912,Enzymes
Q05209,Enzymes
Q05329,Enzymes
Q05397,Enzymes
Q05513,Enzymes
Q05655,Enzymes
Q05932,Enzymes
Q06187,Enzymes
Q06203,Enzymes
Q06278,Enzymes
Q06418,Enzymes
Q06830,Enzymes
Q07075,Enzymes
Q07343,Enzymes
Q07864,Enzymes
Q07912,Enzymes
Q08345,Enzymes
Q08462,Enzymes
Q08493,Enzymes
Q08499,Enzymes
Q08828,Enzymes
Q08881,Enzymes
Q12851,Enzymes
Q12852,Enzymes
Q12866,Enzymes
Q12882,Enzymes
Q13126,Enzymes
Q13131,Enzymes
Q13153,Enzymes
Q13164,Enzymes
Q13177,Enzymes
Q13219,Enzymes
Q13233,Enzymes
Q13237,Enzymes
Q13315,Enzymes
Q13332,Enzymes
Q13363,Enzymes
Q13370,Enzymes
Q13393,Enzymes
Q13423,Enzymes
Q13464,Enzymes
Q13523,Enzymes
Q13546,Enzymes
Q13547,Enzymes
Q13554,Enzymes
Q13555,Enzymes
Q13557,Enzymes
Q13574,Enzymes
Q13627,Enzymes
Q13733,Enzymes
Q13838,Enzymes
Q13873,Enzymes
Q13882,Enzymes
Q13946,Enzymes
Q14012,Enzymes
Q14032,Enzymes
Q14123,Enzymes
Q14164,Enzymes
Q14289,Enzymes
Q14353,Enzymes
Q14432,Enzymes
Q14534,Enzymes
Q14680,Enzymes
Q14697,Enzymes
Q14749,Enzymes
Q14790,Enzymes
Q15120,Enzymes
Q15125,Enzymes
Q15139,Enzymes
Q15185,Enzymes
Q15208,Enzymes
Q15274,Enzymes
Q15303,Enzymes
Q15375,Enzymes
Q15418,Enzymes
Q15493,Enzymes
Q15569,Enzymes
Q15746,Enzymes
Q15759,Enzymes
Q15788,Enzymes
Q15910,Enzymes
Q16134,Enzymes
Q16288,Enzymes
Q16512,Enzymes
Q16513,Enzymes
Q16539,Enzymes
Q16584,Enzymes
Q16595,Enzymes
Q16620,Enzymes
Q16647,Enzymes
Q16654,Enzymes
Q16659,Enzymes
Q16678,Enzymes
Q16719,Enzymes
Q16720,Enzymes
Q16739,Enzymes
Q16760,Enzymes
Q16790,Enzymes
Q16832,Enzymes
Q16850,Enzymes
Q16853,Enzymes
Q16873,Enzymes
Q16881,Enzymes
Q2M2I8,Enzymes
Q32MK0,Enzymes
Q32P28,Enzymes
Q59H18,Enzymes
Q5JPH6,Enzymes
Q5KSL6,Enzymes
Q5S007,Enzymes
Q6IA69,Enzymes
Q6NUM9,Enzymes
Q6NVY1,Enzymes
Q6PHR2,Enzymes
Q6TGC4,Enzymes
Q7KZI7,Enzymes
Q7L7X3,Enzymes
Q7LG56,Enzymes
Q86UE8,Enzymes
Q86XF0,Enzymes
Q86XP1,Enzymes
Q8IU85,Enzymes
Q8IVH8,Enzymes
Q8IVL5,Enzymes
Q8IVL6,Enzymes
Q8IW41,Enzymes
Q8IYT8,Enzymes
Q8N0U8,Enzymes
