Uniprot_id,Family,KEGG,ChEMBL,GtoPdb,score
P03951,Enzymes,1,1,1,3
P03952,Enzymes,1,1,1,3
P04003,Others,0,0,0,0
P04004,Others,0,0,0,0
P04035,Enzymes,1,1,1,3
P04040,Enzymes,1,1,1,3
P04049,Enzymes,1,1,1,3
P04054,Enzymes,1,1,1,3
P04070,Enzymes,1,1,1,3
P04075,Enzymes,1,1,0,2
P04083,Others,0,0,0,0
P04114,Others,0,0,0,0
P04150,NR,1,1,1,3
P04155,Others,0,0,0,0
P04156,Others,0,0,0,0
P04179,Enzymes,1,1,0,2
P04196,Others,0,0,0,0
P04217,Others,0,0,0,0
P04264,Others,0,0,0,0
P04271,Others,0,0,0,0
P04279,Others,0,0,0,0
P04350,Others,0,0,0,0
P04406,Enzymes,1,1,0,2
P04626,Enzymes,1,1,0,2
P04629,Enzymes,1,1,0,2
P04637,Enzymes,0,1,0,1
P04746,Enzymes,1,1,1,3
P04792,Others,0,0,0,0
P04798,Enzymes,1,1,1,3
P04818,Enzymes,1,1,1,3
P04839,Enzymes,0,0,1,1
P05023,Enzymes,1,1,0,2
P05026,IC,0,1,0,1
P05067,Others,0,0,0,0
P05090,Others,0,0,0,0
P05091,Enzymes,1,1,1,3
P05093,Enzymes,1,1,1,3
P05106,Others,0,0,0,0
P05108,Enzymes,1,1,1,3
P05109,Others,0,0,0,0
P05113,Others,0,0,0,0
P05121,Others,0,0,0,0
P05129,Enzymes,1,1,1,3
P05141,Others,0,0,0,0
P05155,Others,0,0,0,0
P05164,Enzymes,1,1,1,3
P05177,Enzymes,1,1,1,3
P05181,Enzymes,0,1,1,2
P05186,Enzymes,1,1,0,2
P05187,Enzymes,1,1,0,2
P05230,Enzymes,0,1,0,1
P05231,Others,0,0,0,0
P05362,Others,0,0,0,0
P05412,Others,0,0,0,0
P05452,Others,0,0,0,0
P05771,Enzymes,1,1,1,3
P06213,Enzymes,1,1,0,2
P06239,Enzymes,1,1,1,3
P06241,Enzymes,1,1,1,3
P06276,Enzymes,1,1,1,3
P06280,Enzymes,1,1,0,2
P06307,Others,0,0,0,0
P06396,Others,0,0,0,0
P06401,NR,1,1,1,3
P06493,Enzymes,1,1,1,3
P06576,Enzymes,1,1,0,2
P06702,Others,0,0,0,0
P06703,Others,0,0,0,0
P06727,Others,0,0,0,0
P06732,Enzymes,1,1,0,2
P06733,Enzymes,1,1,0,2
P06744,Enzymes,1,1,0,2
P06746,Enzymes,1,1,1,3
P06748,Enzymes,0,1,0,1
P06753,Enzymes,0,1,0,1
P06756,Others,0,0,0,0
P06858,Enzymes,1,1,0,2
P06870,Enzymes,1,1,1,3
P07098,Enzymes,1,1,1,3
P07101,Enzymes,1,1,1,3
P07202,Enzymes,1,1,1,3
P07204,Others,0,0,0,0
P07225,Others,0,0,0,0
P07237,Enzymes,1,1,0,2
P07288,Enzymes,1,1,1,3
P07327,Enzymes,1,1,0,2
P07332,Enzymes,1,1,1,3
P07333,Enzymes,1,1,0,2
P07355,IC,0,1,0,1
P07357,Others,0,0,0,0
P07359,Others,0,0,0,0
P07360,Others,0,0,0,0
P07437,Others,0,0,0,0
P07451,Enzymes,1,1,0,2
P07477,Enzymes,1,1,1,3
P07478,Enzymes,1,1,1,3
P07550,GPCR,1,1,1,3
P07686,Enzymes,1,1,0,2
P07711,Enzymes,1,1,1,3
P07737,Others,0,0,0,0
P07741,Enzymes,1,1,0,2
P07814,Enzymes,1,1,0,2
P07900,Others,0,0,0,0
P07947,Enzymes,1,1,1,3
P07948,Enzymes,1,1,1,3
P07949,Enzymes,1,1,0,2
P07998,Enzymes,1,1,0,2
P08069,Enzymes,1,1,0,2
P08100,GPCR,1,1,1,3
P08172,GPCR,1,1,1,3
P08173,GPCR,1,1,1,3
P08174,Others,0,0,0,0
P08183,Enzymes,1,0,0,1
P08235,NR,1,1,1,3
P08238,Others,0,0,0,0
P08243,Enzymes,1,1,0,2
P08253,Enzymes,1,1,1,3
P08263,Enzymes,1,1,0,2
P08294,Enzymes,1,1,0,2
P08473,Enzymes,1,1,1,3
P08493,Others,0,0,0,0
P08514,Others,0,0,0,0
P08519,Others,0,0,0,0
P08581,Enzymes,1,1,0,2
P08588,GPCR,1,1,1,3
P08603,Others,0,0,0,0
P08620,Others,0,0,0,0
P08631,Enzymes,1,1,1,3
P08648,IC,0,1,0,1
P08670,Others,0,0,0,0
P08684,Enzymes,1,1,1,3
P08686,Enzymes,1,1,1,3
P08697,Others,0,0,0,0
P08700,Others,0,0,0,0
P08708,Others,0,0,0,0
P08729,Others,0,0,0,0
P08758,Others,0,0,0,0
P08779,Others,0,0,0,0
P08865,Others,0,0,0,0
P08908,GPCR,1,1,1,3
P08912,GPCR,1,1,1,3
P08913,GPCR,1,1,1,3
P09038,Others,0,0,0,0
P09172,Enzymes,1,1,1,3
P09210,Enzymes,1,1,0,2
P09211,Enzymes,1,1,0,2
P09382,Others,0,0,0,0
P09429,Others,0,0,0,0
P09455,Others,0,0,0,0
P09466,Others,0,0,0,0
P09486,Others,0,0,0,0
P09488,Enzymes,1,1,0,2
P09493,Enzymes,0,1,0,1
P09601,Enzymes,1,1,1,3
P09619,Enzymes,1,1,0,2
P09669,Others,0,0,0,0
P09769,Enzymes,1,1,1,3
P09874,Enzymes,1,1,1,3
P09884,Enzymes,1,1,0,2
P09917,Enzymes,1,1,1,3
P09936,Enzymes,1,1,1,3
P09958,Enzymes,1,1,1,3
P09960,Enzymes,1,1,1,3
P0C0L5,Others,0,0,0,0
P0CG30,Enzymes,1,0,0,1
P0DJD9,Enzymes,1,1,1,3
P0DMS8,GPCR,1,1,1,3
P0DP23,Enzymes,0,1,0,1
P10109,Others,0,0,0,0
P10145,Others,0,0,0,0
P10176,Others,0,0,0,0
P10253,Enzymes,1,1,1,3
P10275,NR,1,1,1,3
P10276,NR,1,1,1,3
P10412,Others,0,0,0,0
P10415,IC,0,1,0,1
P10515,Enzymes,1,1,0,2
P10589,NR,1,1,1,3
P10599,Enzymes,0,1,0,1
P10606,Others,0,0,0,0
P10632,Enzymes,1,1,1,3
P10635,Enzymes,1,1,1,3
P10636,Others,0,0,0,0
P10644,Enzymes,0,1,1,2
P10696,Enzymes,1,1,0,2
P10721,Enzymes,1,1,0,2
P10809,Enzymes,1,0,0,1
P10826,NR,1,1,1,3
P10827,NR,1,1,1,3
P10828,NR,1,1,1,3
P10909,Others,0,0,0,0
P10997,Others,0,0,0,0
P11021,Enzymes,1,0,0,1
P11086,Enzymes,1,1,1,3
P11137,Others,0,0,0,0
P11142,Others,0,0,0,0
P11166,Others,0,0,0,0
P11168,Others,0,0,0,0
P11216,Enzymes,1,1,0,2
P11217,Enzymes,1,1,0,2
P11229,GPCR,1,1,1,3
P11274,Enzymes,1,1,1,3
P11309,Enzymes,1,1,1,3
P11362,Enzymes,1,1,0,2
P11387,Enzymes,1,1,1,3
P11388,Enzymes,1,1,1,3
P11413,Enzymes,1,1,0,2
P11474,NR,1,1,1,3
P11509,Enzymes,0,1,1,2
P11511,Enzymes,1,1,1,3
P11586,Enzymes,1,1,0,2
P11712,Enzymes,1,1,1,3
P11802,Enzymes,1,1,1,3
P11926,Enzymes,1,1,1,3
P12004,Others,0,0,0,0
P12104,Others,0,0,0,0
P12235,Others,0,0,0,0
P12236,Others,0,0,0,0
P12268,Enzymes,1,1,1,3
P12277,Enzymes,1,1,0,2
P12532,Enzymes,1,0,0,1
P12644,Enzymes,0,1,0,1
P12814,Others,0,0,0,0
P12821,Enzymes,1,1,1,3
P12883,Others,0,0,0,0
P12931,Enzymes,1,1,1,3
P13073,Others,0,0,0,0
P13196,Enzymes,1,0,0,1
P13498,Others,0,0,0,0
P13500,GPCR,0,1,0,1
P13569,IC,0,1,1,2
P13631,NR,1,1,1,3
P13637,Enzymes,1,1,0,2
P13639,Others,0,0,0,0
P13645,Others,0,0,0,0
P13647,Others,0,0,0,0
P13693,Others,0,0,0,0
P13716,Enzymes,1,1,0,2
P13866,Others,0,0,0,0
P13945,GPCR,1,1,1,3
P13995,Enzymes,1,1,0,2
P14060,Enzymes,1,1,0,2
P14061,Enzymes,1,1,0,2
P14210,Others,0,0,0,0
P14324,Enzymes,1,1,1,3
P14410,Enzymes,1,1,0,2
P14415,IC,0,1,0,1
P14416,GPCR,1,1,1,3
P14550,Enzymes,1,1,0,2
P14555,Enzymes,1,1,1,3
P14598,Others,0,0,0,0
P14616,Enzymes,1,1,0,2
P14618,Enzymes,1,1,1,3
P14625,Others,0,0,0,0
P14679,Enzymes,1,1,1,3
P14735,Enzymes,1,1,1,3
P14770,Others,0,0,0,0
P14780,Enzymes,1,1,1,3
P14854,Others,0,0,0,0
P14866,Others,0,0,0,0
P14867,IC,1,1,1,3
P14902,Enzymes,1,1,1,3
P14920,Enzymes,1,1,0,2
P14923,Others,0,0,0,0
P15056,Enzymes,1,1,1,3
P15086,Enzymes,1,1,1,3
P15104,Enzymes,1,1,0,2
P15121,Enzymes,1,1,1,3
P15144,Enzymes,1,1,1,3
P15153,Enzymes,0,1,0,1
P15169,Enzymes,1,1,1,3
P15313,Enzymes,0,1,0,1
P15336,Others,0,0,0,0
