DrugBank_id,Uniprot_id
DB00909,Q9Y5Y9
DB01035,Q9Y5Y9
DB01056,Q9Y5Y9
DB01121,Q9Y5Y9
DB01182,Q9Y5Y9
DB01228,Q9Y5Y9
DB01320,Q9Y5Y9
DB01438,Q9Y5Y9
DB04855,Q9Y5Y9
DB06201,Q9Y5Y9
DB09119,Q9Y5Y9
DB14575,Q9Y5Y9
DB00280,Q9UQD0
DB00281,Q9UQD0
DB00296,Q9UQD0
DB00379,Q9UQD0
DB00532,Q9UQD0
DB00645,Q9UQD0
DB00680,Q9UQD0
DB00721,Q9UQD0
DB00740,Q9UQD0
DB00750,Q9UQD0
DB00754,Q9UQD0
DB00794,Q9UQD0
DB00807,Q9UQD0
DB00892,Q9UQD0
DB00908,Q9UQD0
DB00909,Q9UQD0
DB00961,Q9UQD0
DB01035,Q9UQD0
DB01056,Q9UQD0
DB01121,Q9UQD0
DB01173,Q9UQD0
DB01182,Q9UQD0
DB01228,Q9UQD0
DB01320,Q9UQD0
DB01438,Q9UQD0
DB04855,Q9UQD0
DB06201,Q9UQD0
DB06218,Q9UQD0
DB09119,Q9UQD0
DB14575,Q9UQD0
DB00252,Q9UI33
DB00280,Q9UI33
DB00281,Q9UI33
DB00296,Q9UI33
DB00379,Q9UI33
DB00532,Q9UI33
DB00645,Q9UI33
DB00680,Q9UI33
DB00721,Q9UI33
DB00740,Q9UI33
DB00750,Q9UI33
DB00754,Q9UI33
DB00794,Q9UI33
DB00807,Q9UI33
DB00892,Q9UI33
DB00908,Q9UI33
DB00961,Q9UI33
DB01035,Q9UI33
DB01056,Q9UI33
DB01121,Q9UI33
DB01173,Q9UI33
DB01182,Q9UI33
DB01228,Q9UI33
DB01320,Q9UI33
DB01438,Q9UI33
DB04855,Q9UI33
DB06201,Q9UI33
DB06218,Q9UI33
DB09119,Q9UI33
DB14575,Q9UI33
DB00252,Q01118
DB00280,Q01118
DB00281,Q01118
DB00296,Q01118
DB00379,Q01118
DB00532,Q01118
DB00645,Q01118
DB00680,Q01118
DB00721,Q01118
DB00740,Q01118
DB00750,Q01118
DB00754,Q01118
DB00794,Q01118
DB00807,Q01118
DB00892,Q01118
DB00908,Q01118
DB00909,Q01118
DB00961,Q01118
DB01035,Q01118
DB01056,Q01118
DB01121,Q01118
DB01173,Q01118
DB01182,Q01118
DB01228,Q01118
DB01320,Q01118
DB01438,Q01118
DB04855,Q01118
DB06201,Q01118
DB06218,Q01118
