DrugBank_id,Uniprot_id
DB09290,A5X5Y0
DB00363,O95264
DB00370,O95264
DB00377,O95264
DB00889,O95264
DB00904,O95264
DB00969,O95264
DB04885,O95264
DB09068,O95264
DB09290,O95264
DB00370,P46098
DB00363,Q70Z44
DB00370,Q70Z44
DB00377,Q70Z44
DB00904,Q70Z44
DB00969,Q70Z44
DB04885,Q70Z44
DB09068,Q70Z44
DB09290,Q70Z44
DB00449,P13945
DB00521,P13945
DB00668,P13945
DB00852,P13945
DB01214,P13945
DB01359,P13945
DB01364,P13945
DB09013,P13945
DB01057,P22303
DB00384,P08235
DB00390,Q13733
DB00511,Q13733
DB01078,Q13733
DB01092,Q13733
DB01158,Q13733
DB01244,Q13733
DB01396,Q13733
DB00390,P13637
DB00511,P13637
DB01078,P13637
DB01158,P13637
DB01244,P13637
DB01396,P13637
DB00390,P50993
DB00511,P50993
DB01078,P50993
DB01158,P50993
DB01244,P50993
DB01396,P50993
DB05294,P35968
DB01268,P07949
DB04868,P09619
DB01169,P10276
DB00480,P01375
DB01041,P01375
DB00563,Q86XF0
DB00642,Q86XF0
DB01157,Q86XF0
DB06813,Q86XF0
DB04868,P16234
DB00648,P05093
DB00755,P29590
DB08964,P34995
DB00928,Q9UBC3
DB00928,Q9Y6K1
DB00949,Q8TCU5
DB00949,O60391
DB00996,P30531
DB08872,P30531
DB01005,P31350
DB01118,P51787
DB04953,P51787
DB01118,Q15842
DB01244,Q15842
DB01118,P48544
DB01244,P48544
DB04855,P48544
DB01118,Q14500
DB01244,Q14500
DB01118,Q9UK17
DB01244,Q9UK17
DB01118,P48549
DB01244,P48549
DB01196,P31213
DB01166,P21731
DB01244,P22460
DB11963,P04626
DB01418,P15559
DB01612,P33402
DB09220,P33402
DB15456,P33402
DB01612,Q02108
DB08931,Q02108
DB09220,Q02108
DB15456,Q02108
DB01612,Q02153
DB08931,Q02153
DB09220,Q02153
DB03880,P08253
DB03880,P14780
DB04851,P08183
DB04865,P01106
DB04865,P24385
DB05239,P36507
DB06595,P05771
DB06595,P05129
DB08810,P28566
DB09225,P28566
DB08810,P30939
DB09225,P30939
DB08875,P30530
DB08910,P05231
DB11963,Q15303
DB12319,Q96S37
