Uniprot_id,Category
Q6NYC1,Enzymes
Q6P5Z2,Enzymes
Q6PHR2,Enzymes
Q6PL18,Enzymes
Q6V1X1,Enzymes
Q6VVX0,Enzymes
Q6ZMT4,Enzymes
Q6ZQW0,Enzymes
Q76MJ5,Enzymes
Q7KZI7,Enzymes
Q7L7X3,Enzymes
Q7LBC6,Enzymes
Q7LG56,Enzymes
Q7RTN6,Enzymes
Q7Z449,Enzymes
Q86TI2,Enzymes
Q86U44,Enzymes
Q86UE8,Enzymes
Q86VZ5,Enzymes
Q86X55,Enzymes
Q86Y07,Enzymes
Q86Y97,Enzymes
Q86Z02,Enzymes
Q8IU80,Enzymes
Q8IU85,Enzymes
Q8IVH8,Enzymes
Q8IW41,Enzymes
Q8IWQ3,Enzymes
Q8IXJ6,Enzymes
Q8IYT8,Enzymes
Q8IZX4,Enzymes
Q8N2K0,Enzymes
Q8N4C8,Enzymes
Q8N5S9,Enzymes
Q8N6T7,Enzymes
Q8N884,Enzymes
Q8NB16,Enzymes
Q8NBP7,Enzymes
Q8NCG7,Enzymes
Q8NEB9,Enzymes
Q8NEV4,Enzymes
Q8NEZ4,Enzymes
Q8NFM4,Enzymes
Q8NHM5,Enzymes
Q8NHU3,Enzymes
Q8NI60,Enzymes
Q8TBX8,Enzymes
Q8TCD5,Enzymes
Q8TCG2,Enzymes
Q8TD08,Enzymes
Q8TD19,Enzymes
Q8TDX7,Enzymes
Q8TEK3,Enzymes
Q8TF76,Enzymes
Q8WTQ7,Enzymes
Q8WTS6,Enzymes
Q8WUI4,Enzymes
Q8WXR4,Enzymes
Q8WYB5,Enzymes
Q8WYR1,Enzymes
Q8WZA2,Enzymes
Q92523,Enzymes
Q92560,Enzymes
Q92569,Enzymes
Q92630,Enzymes
Q92743,Enzymes
Q92769,Enzymes
Q92794,Enzymes
Q92800,Enzymes
Q92820,Enzymes
Q92824,Enzymes
Q92830,Enzymes
Q92831,Enzymes
Q92851,Enzymes
Q92876,Enzymes
Q92918,Enzymes
Q92993,Enzymes
Q969S8,Enzymes
Q96BR1,Enzymes
Q96D53,Enzymes
Q96DB2,Enzymes
Q96EB6,Enzymes
Q96FW1,Enzymes
Q96GD4,Enzymes
Q96IY4,Enzymes
Q96KB5,Enzymes
Q96KQ7,Enzymes
Q96KS0,Enzymes
Q96L34,Enzymes
Q96L73,Enzymes
Q96LA8,Enzymes
Q96LD8,Enzymes
Q96PD7,Enzymes
Q96PF2,Enzymes
Q96PH1,Enzymes
Q96PN6,Enzymes
Q96PY6,Enzymes
Q96Q15,Enzymes
Q96RG2,Enzymes
Q96RR4,Enzymes
Q96S44,Enzymes
Q96SB4,Enzymes
Q96SQ9,Enzymes
Q96SW2,Enzymes
Q99519,Enzymes
Q99538,Enzymes
Q99558,Enzymes
Q99640,Enzymes
Q99683,Enzymes
Q99685,Enzymes
Q99707,Enzymes
Q99755,Enzymes
Q99759,Enzymes
Q99873,Enzymes
Q99986,Enzymes
Q9BQB6,Enzymes
Q9BQF6,Enzymes
Q9BQI3,Enzymes
Q9BRS2,Enzymes
Q9BTU6,Enzymes
Q9BUB5,Enzymes
Q9BV23,Enzymes
Q9BVS4,Enzymes
Q9BX84,Enzymes
Q9BXA7,Enzymes
Q9BY41,Enzymes
Q9BY66,Enzymes
Q9BYF1,Enzymes
Q9BYP7,Enzymes
Q9BYW2,Enzymes
Q9BZL6,Enzymes
Q9BZM1,Enzymes
Q9BZM2,Enzymes
Q9BZP6,Enzymes
Q9GZR1,Enzymes
Q9GZT9,Enzymes
Q9H0E9,Enzymes
Q9H0K1,Enzymes
Q9H1R3,Enzymes
Q9H237,Enzymes
Q9H2G2,Enzymes
Q9H2K2,Enzymes
Q9H2K8,Enzymes
Q9H2X6,Enzymes
Q9H3R0,Enzymes
Q9H3Y6,Enzymes
Q9H422,Enzymes
Q9H4A3,Enzymes
Q9H4B4,Enzymes
Q9H5I1,Enzymes
Q9H6P5,Enzymes
Q9H6Z9,Enzymes
Q9H7Z6,Enzymes
Q9H7Z7,Enzymes
Q9H8M2,Enzymes
Q9H9B1,Enzymes
Q9HAZ1,Enzymes
Q9HBH9,Enzymes
Q9HBY0,Enzymes
Q9HBY8,Enzymes
Q9HC98,Enzymes
Q9HCP0,Enzymes
Q9HCR9,Enzymes
Q9NP56,Enzymes
Q9NPA2,Enzymes
Q9NPH5,Enzymes
Q9NPI1,Enzymes
Q9NQ66,Enzymes
Q9NQR1,Enzymes
Q9NQU5,Enzymes
Q9NR19,Enzymes
Q9NR21,Enzymes
Q9NR22,Enzymes
Q9NR48,Enzymes
Q9NR63,Enzymes
Q9NR71,Enzymes
Q9NRA0,Enzymes
Q9NRC8,Enzymes
Q9NRG4,Enzymes
Q9NRM7,Enzymes
Q9NSY1,Enzymes
Q9NTG7,Enzymes
Q9NVM4,Enzymes
Q9NWZ3,Enzymes
Q9NXA8,Enzymes
Q9NY33,Enzymes
Q9NY59,Enzymes
Q9NYA1,Enzymes
Q9NYL2,Enzymes
Q9NYV4,Enzymes
Q9NYY3,Enzymes
Q9NZ08,Enzymes
Q9NZ20,Enzymes
Q9NZJ5,Enzymes
Q9NZK7,Enzymes
Q9P0G3,Enzymes
Q9P0L2,Enzymes
Q9P0U3,Enzymes
Q9P1W9,Enzymes
Q9P286,Enzymes
Q9P289,Enzymes
Q9P2K8,Enzymes
Q9UBE8,Enzymes
Q9UBF8,Enzymes
Q9UBN7,Enzymes
Q9UBR2,Enzymes
Q9UBS0,Enzymes
Q9UBX1,Enzymes
Q9UEW8,Enzymes
Q9UGI9,Enzymes
Q9UGJ0,Enzymes
Q9UGL1,Enzymes
Q9UGN5,Enzymes
Q9UHD2,Enzymes
Q9UHI8,Enzymes
Q9UI42,Enzymes
Q9UIK4,Enzymes
Q9UIQ6,Enzymes
Q9UK32,Enzymes
Q9UK80,Enzymes
Q9UKE5,Enzymes
Q9UKI8,Enzymes
Q9UKV0,Enzymes
Q9UL54,Enzymes
Q9ULZ9,Enzymes
Q9UM07,Enzymes
Q9UMN6,Enzymes
Q9UNA0,Enzymes
Q9UNI1,Enzymes
Q9UNK4,Enzymes
Q9UNU6,Enzymes
Q9UP65,Enzymes
Q9UPE1,Enzymes
Q9UPN9,Enzymes
Q9UPP1,Enzymes
Q9UPZ9,Enzymes
Q9UQ88,Enzymes
Q9UQB9,Enzymes
Q9UQL6,Enzymes
Q9UQM7,Enzymes
Q9Y233,Enzymes
Q9Y251,Enzymes
Q9Y256,Enzymes
Q9Y2H1,Enzymes
Q9Y2H9,Enzymes
Q9Y2I7,Enzymes
Q9Y2K2,Enzymes
Q9Y2K7,Enzymes
Q9Y2R2,Enzymes
Q9Y2U5,Enzymes
Q9Y337,Enzymes
Q9Y3Q0,Enzymes
Q9Y3R4,Enzymes
Q9Y3S1,Enzymes
Q9Y463,Enzymes
Q9Y478,Enzymes
Q9Y4C1,Enzymes
Q9Y4D2,Enzymes
Q9Y4K0,Enzymes
Q9Y4K4,Enzymes
Q9Y4P1,Enzymes
Q9Y570,Enzymes
Q9Y572,Enzymes
Q9Y5L3,Enzymes
Q9Y5S2,Enzymes
Q9Y5S8,Enzymes
Q9Y5X9,Enzymes
Q9Y5Y6,Enzymes
Q9Y5Z0,Enzymes
Q9Y616,Enzymes
Q9Y6A2,Enzymes
Q9Y6E0,Enzymes
Q9Y6F1,Enzymes
Q9Y6K1,Enzymes
Q9Y6M4,Enzymes
Q9Y6Q9,Enzymes
Q9Y6R4,Enzymes
O00222,GPCR
O00421,GPCR
O00574,GPCR
O14842,GPCR
O14843,GPCR
O15303,GPCR
O15552,GPCR
O43193,GPCR
O43603,GPCR
O43613,GPCR
O43614,GPCR
O60755,GPCR
O60883,GPCR
O75899,GPCR
O95136,GPCR
O95665,GPCR
O95977,GPCR
P04201,GPCR
P07550,GPCR
P08172,GPCR
P08173,GPCR
P08588,GPCR
P08908,GPCR
P08912,GPCR
P08913,GPCR
P0DMS8,GPCR
P11229,GPCR
P13945,GPCR
P14416,GPCR
P16473,GPCR
P18089,GPCR
P18825,GPCR
P20309,GPCR
P21452,GPCR
P21453,GPCR
P21462,GPCR
P21554,GPCR
P21728,GPCR
P21730,GPCR
P21731,GPCR
P21917,GPCR
P21918,GPCR
P22888,GPCR
P23945,GPCR
P24530,GPCR
P25021,GPCR
P25024,GPCR
P25025,GPCR
P25089,GPCR
P25090,GPCR
P25100,GPCR
P25101,GPCR
P25103,GPCR
P25105,GPCR
P25106,GPCR
P25116,GPCR
P25929,GPCR
P28221,GPCR
P28222,GPCR
P28223,GPCR
P28335,GPCR
P28336,GPCR
P28566,GPCR
P29274,GPCR
P29275,GPCR
P29371,GPCR
P30411,GPCR
P30518,GPCR
P30542,GPCR
P30550,GPCR
P30556,GPCR
P30559,GPCR
P30872,GPCR
P30874,GPCR
P30939,GPCR
P30968,GPCR
P30988,GPCR
P30989,GPCR
P31391,GPCR
P32238,GPCR
P32239,GPCR
P32241,GPCR
P32245,GPCR
P32246,GPCR
P32247,GPCR
P32248,GPCR
P32249,GPCR
P32302,GPCR
P32745,GPCR
P33032,GPCR
P34969,GPCR
P34972,GPCR
P34981,GPCR
P34995,GPCR
P34998,GPCR
P35346,GPCR
P35348,GPCR
P35367,GPCR
P35368,GPCR
P35372,GPCR
P35408,GPCR
P35414,GPCR
P35462,GPCR
P37288,GPCR
P41143,GPCR
P41180,GPCR
P41231,GPCR
P41586,GPCR
P41587,GPCR
P41594,GPCR
P41595,GPCR
P41597,GPCR
P41968,GPCR
P43088,GPCR
P43115,GPCR
P43116,GPCR
P43119,GPCR
P43220,GPCR
P43657,GPCR
P46092,GPCR
P46663,GPCR
P47211,GPCR
P47871,GPCR
P47898,GPCR
P47900,GPCR
P47901,GPCR
P48039,GPCR
P48145,GPCR
P48546,GPCR
P49019,GPCR
P49146,GPCR
P49238,GPCR
P49286,GPCR
P49682,GPCR
P49683,GPCR
P50052,GPCR
P50406,GPCR
P51582,GPCR
P51677,GPCR
P51679,GPCR
P51681,GPCR
P51684,GPCR
P51685,GPCR
P51686,GPCR
P55085,GPCR
P59533,GPCR
P59534,GPCR
P59535,GPCR
P59536,GPCR
P59537,GPCR
P59538,GPCR
P59540,GPCR
P59541,GPCR
P59542,GPCR
P59544,GPCR
P59551,GPCR
P61073,GPCR
Q01726,GPCR
Q02643,GPCR
Q03431,GPCR
Q13255,GPCR
Q13258,GPCR
Q13304,GPCR
Q13324,GPCR
Q13639,GPCR
Q14330,GPCR
Q14416,GPCR
Q14831,GPCR
Q14832,GPCR
Q14833,GPCR
Q15077,GPCR
Q15391,GPCR
Q15722,GPCR
Q15761,GPCR
Q16581,GPCR
Q16602,GPCR
Q5NUL3,GPCR
Q6W5P4,GPCR
Q7RTR8,GPCR
Q7RTX0,GPCR
Q7RTX1,GPCR
Q8NFJ6,GPCR
Q8TDS4,GPCR
Q8TDU6,GPCR
Q8TDU9,GPCR
Q8TDV5,GPCR
Q8TE23,GPCR
Q92633,GPCR
Q92847,GPCR
Q969F8,GPCR
Q969V1,GPCR
Q96G91,GPCR
Q96LA9,GPCR
Q96LB1,GPCR
Q96LB2,GPCR
Q96P65,GPCR
Q96RI0,GPCR
Q99500,GPCR
Q99527,GPCR
Q99677,GPCR
